Initial_Price,Final_Price,Win_Flag,Mac_Flag,Linux_Flag,Positive_Reviews,Negative_Reviews,Memory_MB,Storage_MB,target
529.0,529.0,True,False,False,124.0,82.0,8192,10240,0
489.0,489.0,True,False,False,7.0,8.0,8192,6144,-1
459.0,459.0,True,False,False,114.0,27.0,8192,7168,1
299.0,299.0,True,False,False,33.0,3.0,8192,3072,1
259.0,259.0,True,True,True,684.0,559.0,4096,3072,0
329.0,329.0,True,False,False,141.0,25.0,4096,1024,1
105.0,105.0,True,False,False,28.0,19.0,2048,250,0
1249.0,1249.0,True,False,False,1019.0,136.0,8192,10240,1
199.0,199.0,True,False,False,41.0,9.0,512,200,1
250.0,250.0,True,False,True,71.0,17.0,2048,50,1
250.0,250.0,True,False,False,27.0,13.0,1024,100,0
879.0,879.0,True,False,False,107.0,116.0,4096,7168,-1
85.0,85.0,True,False,False,14.0,2.0,2048,420,1
349.0,349.0,True,False,False,20.0,15.0,2048,1024,0
0.0,0.0,True,False,False,33.0,10.0,4096,500,1
479.0,479.0,True,False,False,65.0,118.0,2048,3700,-1
489.0,489.0,True,False,False,54.0,33.0,8192,1024,0
1420.0,1420.0,True,False,False,28.0,1.0,256,500,1
85.0,85.0,True,True,True,437.0,421.0,2048,600,1
309.0,77.0,True,False,False,120.0,52.0,16,25,1
169.0,169.0,True,True,True,579.0,70.0,4096,198,1
349.0,349.0,True,False,False,9.0,6.0,2048,2048,1
459.0,459.0,True,True,False,44.0,9.0,2048,300,1
0.0,0.0,True,False,False,29.0,2.0,2048,50,1
699.0,699.0,True,False,False,24.0,8.0,8192,500,0
0.0,0.0,True,False,False,15.0,12.0,2048,160,0
519.0,519.0,True,False,False,1973.0,569.0,2048,15360,1
229.0,229.0,True,False,False,35.0,3.0,512,18,1
260.0,260.0,True,False,False,11.0,33.0,512,180,-1
690.0,690.0,True,True,True,706.0,428.0,4096,700,0
349.0,349.0,True,True,True,27.0,5.0,1024,1200,1
259.0,259.0,True,False,False,171.0,5.0,2048,40,1
250.0,250.0,True,True,True,25.0,0.0,1024,150,1
259.0,259.0,True,True,False,218.0,28.0,2048,100,1
565.0,565.0,True,False,False,9.0,11.0,2048,600,0
0.0,0.0,True,True,False,157.0,19.0,2048,1024,1
0.0,0.0,True,False,False,17.0,13.0,16384,750,0
419.0,419.0,True,True,False,71.0,32.0,1024,512,0
0.0,0.0,True,False,False,12.0,7.0,8192,200,0
419.0,419.0,True,True,True,5952.0,535.0,2048,500,1
259.0,259.0,True,False,False,96.0,10.0,1024,100,1
0.0,0.0,True,False,False,49.0,14.0,4096,2048,1
165.0,165.0,True,True,True,271.0,71.0,512,128,1
459.0,459.0,True,True,True,24.0,6.0,4096,1024,1
125.0,125.0,True,True,True,29.0,9.0,1024,200,1
250.0,250.0,True,True,True,28.0,1.0,2048,1024,1
349.0,349.0,True,True,False,36.0,5.0,256,150,1
0.0,0.0,True,True,False,58.0,4.0,4096,2048,1
0.0,0.0,True,False,False,37.0,5.0,4096,1024,1
85.0,85.0,True,True,True,58.0,1.0,1024,200,1
329.0,329.0,True,False,False,99.0,13.0,4096,3072,1
299.0,299.0,True,False,False,22.0,17.0,6144,13312,0
229.0,229.0,True,False,False,28.0,6.0,256,170,1
529.0,529.0,True,False,False,6.0,15.0,8192,10240,-1
250.0,250.0,True,True,True,1442.0,118.0,512,20,1
125.0,125.0,True,False,False,19.0,0.0,4096,500,1
4000.0,4000.0,True,True,True,14.0,7.0,4096,4096,1
0.0,0.0,True,True,False,32.0,14.0,2048,500,0
0.0,0.0,True,False,False,5.0,5.0,6144,4096,0
369.0,369.0,True,False,False,17.0,0.0,1280,435,1
569.0,569.0,True,False,False,436.0,66.0,1024,6144,1
419.0,419.0,True,True,False,60.0,17.0,1024,512,1
349.0,349.0,True,False,True,15.0,0.0,4096,350,1
599.0,599.0,True,False,False,43.0,59.0,4096,480,0
419.0,419.0,True,False,True,14.0,0.0,2048,200,1
565.0,565.0,True,False,True,58.0,34.0,1024,800,0
0.0,0.0,True,False,False,5.0,9.0,4096,1024,-1
0.0,0.0,True,False,False,369.0,21.0,2048,1300,1
349.0,349.0,True,False,False,9.0,8.0,8192,3072,0
0.0,0.0,True,True,True,191.0,56.0,4096,512,1
0.0,0.0,True,False,False,52.0,17.0,4096,550,1
125.0,125.0,True,False,False,21.0,4.0,512,200,1
400.0,400.0,True,True,False,244.0,17.0,4096,1250,1
58.0,58.0,True,False,False,15.0,15.0,2,2048,0
349.0,34.0,True,True,True,1491.0,304.0,2048,1100,1
899.0,899.0,True,False,False,346.0,63.0,4096,8267,1
319.0,143.0,True,False,False,102.0,37.0,256,1024,1
229.0,229.0,True,False,False,2785.0,361.0,50,200,1
0.0,0.0,True,False,False,50.0,7.0,8192,1024,1
199.0,199.0,True,False,False,678.0,299.0,4096,6144,0
0.0,0.0,True,False,False,4.0,8.0,1024,256,-1
42.0,42.0,True,False,True,15.0,0.0,2048,100,1
229.0,229.0,True,False,False,31.0,9.0,256,97,1
319.0,63.0,True,False,False,151.0,30.0,1024,1024,1
52.0,0.0,True,False,False,18.0,13.0,1024,300,0
570.0,570.0,True,False,False,25.0,2.0,512,500,1
0.0,0.0,True,False,False,11.0,4.0,2048,362,1
0.0,0.0,True,False,False,17.0,12.0,6144,3072,0
199.0,199.0,True,True,False,135.0,10.0,4096,200,1
400.0,160.0,True,True,False,32.0,3.0,2048,150,1
42.0,42.0,True,False,False,28.0,9.0,1024,400,1
229.0,229.0,True,False,False,63.0,20.0,128,200,1
0.0,0.0,True,False,False,61.0,18.0,8192,4096,1
479.0,479.0,True,False,False,16.0,47.0,2048,5120,1
529.0,529.0,True,True,False,325.0,93.0,4096,5120,1
