Index,AppID
0,20200
1,655370
2,1732930
3,1355720
4,1139950
5,1469160
6,1659180
7,1968760
8,1178150
9,320150
10,1026420
11,485000
12,1620060
13,825930
14,1454010
15,22670
16,1330820
17,346560
18,1097880
19,1362670
20,290870
21,575760
22,434030
23,810740
24,2073470
25,589250
26,677880
27,1294780
28,1342850
29,1177420
30,793990
31,1727670
32,955490
33,552350
34,42500
35,1195610
36,1095380
37,1158910
38,1194940
39,262150
40,1192900
41,866150
42,231330
43,1056520
44,897820
45,658970
46,1777550
47,552520
48,718350
49,433450
50,1709450
51,1431470
52,1794920
53,1959480
54,763550
55,1445370
56,464230
57,1293830
58,1509640
59,1135380
60,1944730
61,1144900
62,306350
63,1684530
64,1557480
65,1128520
66,12140
67,1647430
68,1845050
69,1163340
70,1608620
71,541570
72,1119070
73,1292520
74,1467330
75,1624600
76,870000
77,1621490
78,768060
79,1746130
80,1281400
81,372890
82,1023420
83,1141880
84,1022840
85,652160
86,968580
87,1131550
88,1729790
89,368080
90,572510
91,1225870
92,1232510
93,1066890
94,817370
95,1662060
96,457140
97,1774810
98,1886290
99,1514360
100,1374280
101,863490
102,396640
103,726020
104,424060
105,1943590
106,1995240
107,514870
108,548290
109,695420
110,1241110
111,587490
112,546050
113,301700
114,2004200
115,1588070
116,730310
117,242530
118,1372570
119,1345820
120,420270
121,435790
122,926310
123,788020
124,467400
125,856730
126,1106950
127,1274570
128,1470790
129,1087620
130,1348430
131,1547580
132,1253680
133,1881210
134,497670
135,850040
136,7940
137,741770
138,110630
139,572330
140,1683240
141,567150
142,700880
143,1413090
144,1610860
145,1302840
146,1305570
147,1609730
148,717980
149,1417450
150,778900
151,1004200
152,1506230
153,638230
154,1839080
155,907460
156,1307070
157,1221640
158,703120
159,328710
160,926140
161,1700630
162,845290
163,739720
164,1776800
165,873970
166,1238130
167,1593100
168,1365900
169,962950
170,778120
171,1187910
172,763350
173,1537410
174,761910
175,975470
176,990900
177,372770
178,462580
179,926870
180,1966960
181,848720
182,1343040
183,519140
184,1987030
185,821260
186,1565720
187,748490
188,545000
189,1623720
190,544220
191,338190
192,1375270
193,551680
194,1874510
195,1693780
196,1466930
197,1748070
198,1755120
199,964920
200,1085570
201,1528020
202,1796350
203,1444320
204,906050
205,351910
206,513480
207,2010700
208,1089830
209,403070
210,811440
211,491010
212,681290
213,1233460
214,1688630
215,350530
216,2026860
217,1481840
218,1444890
219,1217340
220,1478660
221,872340
222,523680
223,439460
224,1308880
225,296650
226,1549420
227,418270
228,390220
229,549860
230,612380
231,1559340
232,1632640
233,350480
234,220900
235,1768260
236,539090
237,908500
238,1852760
239,809890
240,570770
241,448500
242,854160
243,1359170
244,897010
245,1607870
246,553260
247,453130
248,1508890
249,3010
250,1297480
251,1217830
252,628830
253,686440
254,521710
255,1986310
256,1259660
257,108200
258,614150
259,1570340
260,304970
261,1630940
262,878520
263,1927300
264,340630
265,704310
266,619150
267,1373890
268,1869200
269,392030
270,605850
271,441670
272,962150
273,50990
274,648510
275,1071070
276,2011540
277,1761740
278,538700
279,1564150
280,726870
281,1074390
282,1554780
283,1065750
284,714780
285,1321040
286,1204930
287,1588760
288,924740
289,416340
290,242610
291,1613340
292,1168980
293,1277340
294,1233610
295,302610
296,1638730
297,1484150
298,1850710
299,922520
300,1743770
301,1157200
302,1862100
303,2022020
304,1099400
305,1604610
306,503060
307,1275970
308,847490
309,1101580
310,201010
311,837610
312,1029870
313,205690
314,632240
315,1774150
316,898910
317,1042930
318,109500
319,539290
320,1603600
321,489100
322,1310620
323,740450
324,1646090
325,448670
326,1956110
327,542740
328,687980
329,612120
330,1259000
331,1380060
332,814560
333,701100
334,1407060
335,1495860
336,1126970
337,1639530
338,1995420
339,358000
340,1856080
341,239430
342,961490
343,363500
344,286750
345,388080
346,1565630
347,1751800
348,925360
349,482300
350,964910
351,16130
352,1716950
353,411530
354,237430
355,1843720
356,485120
357,1907570
358,528670
359,417540
360,1496530
361,465070
362,448010
363,782630
364,1162170
365,1941850
366,1467740
367,1212930
368,1580990
369,1975670
370,1808480
371,818070
372,1271190
373,944590
374,1299400
375,958090
376,607040
377,1301850
378,299380
379,1626950
380,342260
381,1684920
382,888010
383,538950
384,293520
385,502940
386,1395560
387,1038680
388,291690
389,1246200
390,1581010
391,1690250
392,653210
393,267360
394,1694430
395,1886850
396,1378490
397,499910
398,1863170
399,1644840
400,1422880
401,12460
402,410320
403,1345440
404,757600
405,952000
406,1735930
407,336670
408,1828410
409,733420
410,1528770
411,542260
412,369560
413,1494400
414,394850
415,953900
416,299480
417,1696230
418,1530670
419,1260220
420,1503530
421,750960
422,1898130
423,523210
424,1278170
425,950400
426,766570
427,1694450
428,1343220
429,1672700
430,1860120
431,1338020
432,1213420
433,1385820
434,848460
435,735650
436,1048100
437,345700
438,1873830
439,65600
440,674250
441,439250
442,1788650
443,1239710
444,1275060
445,940350
446,868060
447,1284550
448,924670
449,598590
450,620050
451,211208
452,454330
453,1723050
454,763230
455,959710
456,1140060
457,1644920
458,957070
459,1270780
460,1702210
461,1302270
462,974930
463,1017480
464,676030
465,1728410
466,1165280
467,1095120
468,818390
469,1245470
470,839770
471,1874660
472,562640
473,360840
474,1007890
475,1030840
476,1234450
477,890130
478,1908060
479,1093880
480,1896980
481,368730
482,1041300
483,572620
484,1581500
485,318260
486,821880
487,886360
488,1408480
489,696760
490,780210
